Stock_ID,Year,total biomass,spawning stock biomass,fishing mortality,exploitation rate
REDFISHSPP3LN,1998,1.16E+05,,7.00E-03,7.74E-03
REDFISHSPP3LN,1999,1.39E+05,,1.50E-02,1.66E-02
REDFISHSPP3LN,2000,1.61E+05,,1.80E-02,1.95E-02
REDFISHSPP3LN,2001,1.82E+05,,8.00E-03,7.94E-03
REDFISHSPP3LN,2002,2.02E+05,,6.00E-03,6.03E-03
REDFISHSPP3LN,2003,2.19E+05,,6.00E-03,6.09E-03
REDFISHSPP3LN,2004,2.33E+05,,3.00E-03,2.73E-03
REDFISHSPP3LN,2005,2.46E+05,,3.00E-03,2.68E-03
REDFISHSPP3LN,2006,2.55E+05,,2.00E-03,1.95E-03
REDFISHSPP3LN,2007,2.62E+05,,7.00E-03,6.34E-03
REDFISHSPP3LN,2008,2.67E+05,,,
REDFISHSPP3LN,2009,,,,
REDFISHSPP3LN,2010,,,,
REDFISHSPP3LN,2011,,,,
REDFISHSPP3LN,2012,,,,
REDFISHSPP3LN,2013,,,,
REDFISHSPP3M,1985,,,,
REDFISHSPP3M,1986,,,,
REDFISHSPP3M,1987,,,,
REDFISHSPP3M,1988,1.60E+05,5.50E+04,,
REDFISHSPP3M,1989,1.28E+05,4.80E+04,3.42E-01,0.45390625
REDFISHSPP3M,1990,8.90E+04,3.80E+04,5.25E-01,0.91011236
REDFISHSPP3M,1991,7.20E+04,1.50E+04,3.97E-01,0.673611111
REDFISHSPP3M,1992,1.19E+05,2.30E+04,6.03E-01,0.363865546
REDFISHSPP3M,1993,7.80E+04,9.00E+03,7.25E-01,0.371794872
REDFISHSPP3M,1994,1.05E+05,9.00E+03,4.73E-01,0.107619048
REDFISHSPP3M,1995,7.30E+04,8.00E+03,7.45E-01,0.184931507
